"","Name","Designation","Department","Qualification"
"2999","RUBEL,ALAN","Acad Program Director","Law, Society And Justice","PHD 2006 Univ of Wisconsin-Madison"
"3000","RUBIN,ANDREW M","Lecturer","Art","MFA 1984 Arizona State University"
"3001","RUBIN,JENNIFER","Lecturer","Social Work","MSW 1991 Univ of Michigan at Ann Arbor"
"3002","RUDOLPH,JOHN","Professor","Curriculum And Instruction","PHD 1999 Univ of Wisconsin-Madison"
"3003","RUDRARAJU,SHIVA","Assistant Professor","Mechanical Engineering","PHD 2011 Univ of Michigan at Ann Arbor"
"3004","RUDYKH,STEPHAN","Assistant Professor","Mechanical Engineering","PHD 2013 "
"3005","RUE,ANNA","Asst Faculty Assoc","Ctr Study Upper Midwest Cultr","PHD 2014 Univ of Wisconsin-Madison"
"3006","RUHL,KIM","Associate Professor","Economics","PHD 2004 Univ of Minnesota-Twin Cities"
"3007","RUHLAND,DANIEL","Clinical Instructor","Academic Affairs","PHARMD 2014 Univ of Wisconsin-Madison"
"3008","RUI,LIXIN","Associate Professor","Medicine","PHD 2004 Australian National University"
"3009","RUMBLE,PATRICK","Professor","French And Italian","PHD 1991 University of Toronto"
"3010","RUNGE,TROY","Associate Professor","Biological Systems Engineering","PHD 1998 Georgia Inst of Technology"
"3011","RUPPAR,ANDREA LYNNN","Associate Professor","Rehab Psychology &amp; Special Ed","PHD 2011 Univ of IL at Urbana-Champaign"
"3012","RUSS,ROSEMARY","Associate Professor","Curriculum And Instruction","PHD 2006 Univ of Maryland College Park"
"3013","RUSSELL,JEFFREY S.","Professor","Civil &amp; Environmental Engr","PHD 1988 Purdue University"
"3014","RUSSELL,RONALD LEE","Senior Lecturer","Cals Academic Affairs","MS 1983 Univ Of Missouri-St Louis"
"3015","RUSSELL,TIMOTHY JAMES","Assoc Lecturer","Dance","BM 2016 Univ of Wisconsin-Madison"
"3016","RUTECKI,TERESA","Lecturer","Counseling Psychology","EDM 2018 "
"3017","RUTHERFORD,THOMAS","Professor","Agricultural&amp;Applied Economics","PHD 1987 Stanford University"
"3018","RUTLAND,CHRISTOPHER","Professor Emer","Engineering Research Center","PHD 1989 Stanford University"
"3019","RUTLEDGE,JULIA ROSE","Lecturer","Educational Psychology","PHD 2017 Univ of Wisconsin-Madison"
"3020","RYFF,CAROL","Professor","Psychology","PHD 1978 Pennsylvania State University"
"3021","RYLANDER,HELENA","Clinical Assoc Prof","Medical Sciences","DVM 1990 Uppsala University"
"3022","RZCHOWSKI,MARK","Professor","Physics","PHD 1988 Stanford University"
"3023","SAALMANN,YURI B.","Assistant Professor","Psychology","PHD 2005 Australian National University"
"3024","SAATCHI,AHMAD","Faculty Associate","Materials Science&amp;Engineering","PHD 1980 Ohio State University"
"3025","SAFDAR,NASIA","Professor","Medicine","PHD 2009 Univ of Wisconsin-Madison"
"3026","SAFFMAN,MARK","Professor","Physics","PHD 1994 Univ of Colorado at Boulder"
"3027","SAFFRAN,JENNY","Professor","Psychology","PHD 1997 University Of Rochester"
"3028","SAGER,LESLEY","Assoc Faculty Assoc","Design Studies","MS 2001 Univ of Wisconsin-Madison"
"3029","SAHA,KRISHANU","Associate Professor","Biomedical Engineering","PHD 2007 Univ of California Berkeley"
"3030","SAHA,SUMONA","Assoc Professor (CHS)","Medicine","MD 2002 Dartmouth College"
"3031","SALADAR,TRACY E","Clinical Assoc Prof","Nursing","DNP 2013 Concordia University Wisconsin"
"3032","SALAMAT,SHAHRIAR","Professor (CHS)","Pathology&amp;Laboratory Medicine","PHD 1978 Univ of Michigan at Ann Arbor"
"3033","SALGADO PABON,WILMARA","Assistant Professor","Pathobiological Sciences","PHD 2008 "
"3034","SALMONS,JOE","Professor","Language Sciences Program","PHD 1984 University of Texas at Austin"
"3035","SALO,DOROTHEA","Senior Lecturer","Information School","MLS 2005 Univ of Wisconsin-Madison"
"3036","SALZMAN,TINA MARIE","Clinical Professor","Ed Leadership&amp;Policy Analysis","PHD 2012 Univ of Wisconsin-Madison"
"3037","SAM,STEVEN","Assistant Professor","Mathematics","PHD 2012 Massachusetts Inst Of Tech"
"3038","SAMANTA,JAYSHREE","Assistant Professor","Comparative Biosciences","PHD 2006 Northwestern University"
"3039","SAMBAMURTHY,VALLABHAJOSYULA","Professor","Accting &amp; Info Sys","PHD 1989 Univ of Minnesota-Twin Cities"
"3040","SAMPENE,EMMANUEL","Lecturer","Population Health Sciences","PHD 2013 University of Pittsburgh"
"3041","SAMPLE,SUSANNAH","Assistant Professor","Surgical Sciences","PHD 2011 Univ of Wisconsin-Madison"
"3042","SAMUEL,MICHAEL","Professor","Forest &amp; Wildlife Ecology","PHD 1984 University of Idaho"
"3043","SAMUELS,ELLEN J","Associate Professor","Gender And Women Studies","PHD 2006 Univ of California Berkeley"
"3044","SANCHEZ,KATHRYN MARGARET","Professor","Spanish And Portuguese","PHD 2000 U of California-Santa Barbara"
"3045","SANDBERG,J LIV","Sr Student Serv Coord","Administrative Service Centers","MS 1998 Iowa State Univ of Sci &amp; Tech"
"3046","SANDBO,NATHAN","Associate Professor","Medicine","MD 2000 Univ of Minnesota-Twin Cities"
"3047","SANDERS,ROBERT D","Assistant Professor","Anesthesiology","PHD  "
"3048","SANDERS,SCOTT","Professor","Mechanical Engineering","PHD 2001 Stanford University"
"3049","SANDGREN,ERIC PAUL","Professor","Pathobiological Sciences","PHD 1993 University of Pennsylvania"
"3050","SANDHOLM,BILL","Professor","Economics","PHD 1998 Northwestern University"
"3051","SANDLER,RICKY CHAD","Lecturer","Finance","BBA 1991 Univ of Wisconsin-Madison"
"3052","SANDOCK,SARAH","Adjunct Asst Prof","Biomedical Engineering","MA  "
"3053","SANDOR,MATYAS","Professor","Pathology&amp;Laboratory Medicine","PHD 1979 Eotvos Lorand University"
"3054","SANFORD,GREGG","Senior Lecturer","Cals Academic Affairs","PHD 2012 Univ of Wisconsin-Madison"
"3055","SANKARALINGAM,KARU","Professor","Computer Sciences","PHD 2006 University of Texas at Austin"
"3056","SANMIGUEL,JOSHUA","Assistant Professor","Electrical &amp; Computer Engr","PHD 2017 University of Toronto"
"3057","SANS,ORIOL","Assistant Professor","Mead Witter School Of Music","DMA 2011 Univ of Michigan at Ann Arbor"
"3058","SANTIAGO,KELVIN R","Assoc Faculty Assoc","Civil &amp; Environmental Engr","PHD 2017 "
"3059","SAPEGA,ELLEN W.","Professor","Spanish And Portuguese","PHD 1988 Vanderbilt University"
"3060","SARADA,-","Assistant Professor","Management &amp; Human Resources","PHD 2011 Univ of California San Diego"
"3061","SARFF,JOHN STEPHEN","Professor","Physics","PHD 1988 Univ of Wisconsin-Madison"
"3062","SARLIOGLU,BULENT","Associate Professor","Electrical &amp; Computer Engr","PHD 1999 Univ of Wisconsin-Madison"
"3063","SARMADI,MAJID","Professor","School Of Human Ecology","PHD 1986 VA Polytechnic Inst &amp; State U"
"3064","SARMIENTO,CAROLINA","Assistant Professor","School Of Human Ecology","PHD 2014 Irvine Valley College"
"3065","SAUER,JD","Associate Professor","Medical Microbiology","PHD 2006 Univ of Michigan at Ann Arbor"
"3066","SAVER,ALEXANDER","Clinical Instructor","Medical Sciences","DVM 2016 University of Queensland"
"3067","SAWCHUK,SANDRA A.","Clinical Instructor","Medical Sciences","DVM 1980 University of Guelph"
"3068","SAYEED,AKBAR M","Professor","Electrical &amp; Computer Engr","PHD 1996 Univ of IL at Urbana-Champaign"
"3069","SAYWELL,LISA M.","Assoc Lecturer","Information School","MLIS 2004 Univ of Wisconsin-Madison"
"3070","SCARLAT,RALUCA","Assistant Professor","Engineering Physics","PHD 2012 Univ of California Berkeley"
"3071","SCERPELLA,TAMARA A","Professor","Orthopedics And Rehabilitation","MD 1985 University of Iowa"
"3072","SCHACHTER,PARTHY","Senior Lecturer","English","MA 2011 Univ of Minnesota-Twin Cities"
"3073","SCHAEFER,ADAM L","Assoc Lecturer","Astronomy","PHD 2017 University of Sydney"
"3074","SCHAEFER,DANIEL MEILAHN","Professor","Animal Sciences","PHD 1979 Univ of IL at Urbana-Champaign"
"3075","SCHAEFER,SUSAN","Clinical Assoc Prof","Surgical Sciences","DVM 1992 Univ of Wisconsin-Madison"
"3076","SCHAEFFER,NORA CATE","Professor","Sociology","PHD 1984 University of Chicago"
"3077","SCHALK,SAMANTHA DAWN","Assistant Professor","Gender And Women Studies","PHD 2014 Indiana University"
"3078","SCHARDT,DANA ELYSE","Clinical Assoc Prof","Nursing","DNP 2010 Minnesota State Univ, Mankato"
"3079","SCHARRER,JONATHAN","Clinical Asst Prof","Law School","JD 2008 Marquette University"
"3080","SCHATZKE,KYOKO","Clinical Instructor","Nursing","MSN 2015 Edgewood College"
"3081","SCHAUER,JAMES","Professor","Civil &amp; Environmental Engr","PHD 1998 California Institute of Tech"
"3082","SCHAUMBERG,KATHERINE ELIZABETH","Asst Professor (CHS)","Psychiatry","PHD 2014 State U of New York at Albany"
"3083","SCHECHTER,LAURA","Professor","Agricultural&amp;Applied Economics","PHD 2005 Univ of California Berkeley"
"3084","SCHECHTMAN,ANAT","Assistant Professor","Philosophy","PHD 2011 Yale University"
"3085","SCHEELE,CHRIS","Assoc Lecturer","Geography","MS 2018 Univ of Wisconsin-Madison"
"3086","SCHEER,ELAINE","Professor","Art","MFA 1982 San Francisco Art Institute"
"3087","SCHELL,RONALD F","Professor","Office Of The Director","PHD 1972 Univ of Wisconsin-Madison"
"3088","SCHERR,SEBASTIAN","Visiting Asst Prof","Communication Arts","PHD 2015 Univ of Wisconsin-Madison"
"3089","SCHEUFELE,DIETRAM","Professor","Life Sciences Communication","PHD 1999 Univ of Wisconsin-Madison"
"3090","SCHIEBLER,MARK L","Professor (CHS)","Radiology","MD 1982 University of Florida"
"3091","SCHIESTLE,JAY","Adjunct Professor","Ms In Biotechnology Degree Prg","MBA  Duke University"
"3092","SCHIFERL,RICH","Adjunct Asst Prof","Engr Professional Development","PHD 1987 Univ of Wisconsin-Madison"
"3093","SCHLOSS,KAREN","Assistant Professor","Psychology","PHD 2011 Univ of California Berkeley"
"3094","SCHMIDLI,LAURA","Lecturer","Counseling Psychology","MA 2009 Univ of Wisconsin-Madison"
"3095","SCHMIDT,CALICO ESTHER","Clinical Instructor","Pathobiological Sciences","DVM 1992 Univ of Wisconsin-Madison"
"3096","SCHMIDT,J.R.","Professor","Chemistry","PHD 2006 Univ of Wisconsin-Madison"
"3097","SCHMIDT,JEFFREY ROBERT","Faculty Associate","Physics","PHD 1987 Univ of Wisconsin-Madison"
"3098","SCHMIDT,JESSICA N","Asst Professor (CHS)","Emergency Medicine","MD 2010 Johns Hopkins University"
"3099","SCHMIDT,NETE","Faculty Associate","German, Nordic &amp; Slavic","PHD 1980 University of Copenhagen"
"3100","SCHMIDT,SILKE","Assoc Lecturer","Agricultural&amp;Applied Economics"," "
"3101","SCHMIT,JOAN","Professor","Risk &amp; Insurance","PHD 1984 Indiana University"
"3102","SCHMITZ,AMY","Assoc Lecturer","Social Work","MSW 2011 Univ of Wisconsin-Madison"
"3103","SCHMITZ,KYLE GREGORY","Senior Lecturer","Operations &amp; Information Mgmt","MBA 2012 Univ of Wisconsin-Madison"
"3104","SCHMITZ,LAUREN L","Assistant Professor","Lafollette Sch Of Publ Affairs","PHD 2015 New School for General Studies"
"3105","SCHMITZ,NATALIE SUZANNE","Asst Professor (CHS)","Pharmacy","PHD 2018 Univ of Minnesota-Twin Cities"
"3106","SCHMITZ,OLIVER","Professor","Engineering Physics","PHD 2006 Germany, Fed Rep Of"
"3107","SCHMITZ-SIEBERTZ,VANESSA","Assoc Lecturer","Classic &amp; Ancient Near E Stds","PHD 2006 Fachhochschule Aachen"
"3108","SCHNEIDER,ANNEMARIE","Associate Professor","Academic Programs","PHD 2005 Boston University"
"3109","SCHNEIDER,DAVID F","Assistant Professor","Surgery","MD 2004 Loyola University of Chicago"
"3110","SCHNUR,ROBERT A.","Adjunct Instructor","Law School","JD 1963 Harvard University"
"3111","SCHOLL,DAVID","Lecturer","Mead Witter School Of Music","MM 2012 Indiana University"
"3112","SCHOLZ,JOHN KARL","Professor","Economics","PHD 1988 Stanford University"
"3113","SCHOMAKER,JENNIFER M","Professor","Chemistry","PHD 2006 Michigan State University"
"3114","SCHOPEN,KIMBERLY J","Clinical Assoc Prof","Communication Sci &amp; Disorders","MS 2005 Univ of Wisconsin-Eau Claire"
"3115","SCHOVILLE,SEAN","Associate Professor","Entomology","PHD 2009 Univ of California Berkeley"
"3116","SCHRAGE,WILLIAM GREG","Professor","Kinesiology","PHD 2001 Univ of Missouri-Columbia"
"3117","SCHRECKER,MATTHEW","Visiting Asst Prof","Mathematics","PHD 2018 "
"3118","SCHREIBER,MAXI","Assoc Lecturer","Art History","PHD 2016 Freie Universitat Berlin"
"3119","SCHROEDER,CARRIE ANN","Clinical Instructor","Surgical Sciences","DVM 2006 Univ of Wisconsin-Madison"
"3120","SCHROEDER,GARY HOWARD","Senior Lecturer","Mathematics","PHD 1987 Univ of Wisconsin-Madison"
"3121","SCHROEDER,GREG","Senior Lecturer","Finance","MS2  "
"3122","SCHROEDER,SISSEL","Professor","Anthropology","PHD 1997 Pennsylvania State University"
"3123","SCHROEPFER,TRACY","Professor","Social Work","PHD 2003 Univ of Michigan at Ann Arbor"
"3124","SCHUCHARDT,ERIC JAMES","Assoc Faculty Assoc","Planning &amp; Landscape Arch","MLA 2011 Harvard University"
"3125","SCHUCHARDT,MAKAYLA","Assoc Faculty Assoc","Nutritional Sciences","MS 2010 New York University"
"3126","SCHUELKE,SHANE","Asst Prof Of Mil Sci","Air Force Aerospace","MS  Slippery Rock Univ Of PA"
"3127","SCHUELLER,JEANNE","Faculty Associate","German, Nordic &amp; Slavic","PHD 1999 Univ of Wisconsin-Madison"
"3128","SCHUG,CASSANDRA","Lecturer","Ed Leadership&amp;Policy Analysis","PHD 2015 Univ of Wisconsin-Madison"
"3129","SCHULDIES,JAKE M","Assoc Lecturer","Social Work","MSW 2011 Univ of Wisconsin-Madison"
"3130","SCHULER,LINDA A","Professor","Comparative Biosciences","PHD 1980 University of Pennsylvania"
"3131","SCHULFER,NATHAN","Faculty Associate","Academic Programs","MS 2012 Univ of Wisconsin-Madison"
"3132","SCHULTZ,AMY","Assoc Lecturer","Communication Arts","MS 2011 Univ of Wisconsin-Whitewater"
"3133","SCHUMACHER,ERICA","Clinical Instructor","Medical Sciences","DVM 2008 Univ of Wisconsin-Madison"
"3134","SCHUSTER,JONATHAN","Adjunct Instructor","Law School","JD 2001 Univ of Wisconsin-Madison"
"3135","SCHWARTZ,ADAM K","Asst Prof Of Mil Sci","Military Science","BS 2010 "
"3136","SCHWARTZ,BRADFORD S","Professor","Medicine","MD 1977 Rush University"
"3137","SCHWARTZ,CHRISTINE RENEE","Professor","Sociology","PHD 2006 Univ of California Los Angeles"
"3138","SCHWARTZ,DAVID","Professor","Law School","JD 1986 Yale University"
"3139","SCHWARTZ,DAVID C.","Professor","Chemistry","PHD 1985 Columbia University"
"3140","SCHWARTZ,PAUL --SON--","Clinical Instructor","Nursing","MSN 2009 University of Pennsylvania"
"3141","SCHWARZ,ALLISON M","Assoc Lecturer","Kinesiology","BS 2011 Univ of Wisconsin-La Crosse"
"3142","SCHWARZ,ROBERT","Lecturer","Real Estate &amp; Urgan Land Econ","MS 1989 Univ of Wisconsin-Madison"
"3143","SCHWARZE,GRETCHEN","Associate Professor","Surgery","MD 1995 Harvard University"
"3144","SCHWARZE,MICHELLE","Assistant Professor","Political Science","PHD 2013 Univ of California Davis"
"3145","SCHWEBACH,MOLLY","Lecturer","Academic Programs","MS 2006 Univ of Wisconsin-Madison"
"3146","SCHWEBER,HOWARD","Professor","Political Science","PHD 1999 Cornell University"
"3147","SCHWEBER,SIMONE A","Professor","Curriculum And Instruction","PHD 1998 Stanford University"
"3148","SCHWENDINGER,LAURA","Professor","Mead Witter School Of Music","PHD 1993 Univ of California Berkeley"
"3149","SCHWOCH,ROBERT","Lecturer","Journalism&amp;Mass Communication","MFA 2007 Bennington College"
"3150","SCOTT,JEFFREY","Adjunct Assoc Prof","Mead Witter School Of Music","MM 1992 SUNY At Stony Brook"
"3151","SCOTT,JESSICA ALYSIA","Assoc Professor (CHS)","Pediatrics","MD 2005 Univ of Wisconsin-Madison"
"3152","SCOTT,LINDA D","Professor","Nursing","PHD 1999 Univ of Michigan at Ann Arbor"
"3153","SEABORG,ANDREW THOMPSON","Adjunct Instructor","Law School","MS 1999 Univ of Wisconsin-Madison"
"3154","SEEGER,ANDREAS","Professor","Mathematics","PHD 1985 Tech Hochschule Darmstadt"
"3155","SEELY,WILLIAM","Senior Lecturer","Life Sciences Communication","BS 1974 Northern Illinois University"
"3156","SEFFROOD,BENJAMIN","Adjunct Professor","Ms In Biotechnology Degree Prg","MBA 2003 Univ of Minnesota-Twin Cities"
"3157","SEIBERT,CHRISTINE S.","Professor (CHS)","Medicine","MD 1992 Northwestern University"
"3158","SEIDEL,COURTNEY LANE","Assoc Faculty Assoc","Communication Sci &amp; Disorders","MS 2011 Univ of Wisconsin-Madison"
"3159","SEIDENBERG,MARK S","Professor","Psychology","PHD 1980 Columbia University"
"3160","SEIDMAN,GAY W.","Professor","Sociology","PHD 1990 Univ of California Berkeley"
"3161","SEIFTER,MIRIAM","Associate Professor","Law School","JD 2007 Harvard University"
"3162","SEILER SCHULTZ,TRACY","Clinical Asst Prof","Nursing","MS 2001 Marquette University"
"3163","SEMANIK,MIKE","Asst Professor (CHS)","Pediatrics","MD 2010 University of Virginia"
"3164","SEMRAD-DOOLITTLE,PAMELA SUE","Faculty Associate","Chemistry","PHD 2001 Univ of Wisconsin-Madison"
"3165","SENCHYNE,JONATHAN","Assistant Professor","Information School","PHD 2011 Cornell University"
"3166","SENECAL,PETER KELLY","Adjunct Asst Prof","Mechanical Engineering","PHD 2000 Univ of Wisconsin-Madison"
"3167","SENES,ALESSANDRO","Associate Professor","Biochemistry","PHD 2001 Yale University"
"3168","SEPPALAINEN,TIMO","Professor","Mathematics","PHD 1991 Univ of Minnesota-Twin Cities"
"3169","SEROOGY,CHRISTINE MARIE","Professor","Pediatrics","MD 1993 Univ of Minnesota-Twin Cities"
"3170","SESHADRI,ANANTH","Professor","Economics","PHD 2000 University Of Rochester"
"3171","SESIL,JAMES","Senior Lecturer","Management &amp; Human Resources","PHD 2000 London Sch Econ&amp; Poli Sci"
"3172","SESTO,MARY","Associate Professor","Medicine","PHD 2003 Univ of Wisconsin-Madison"
"3173","SETALURI,VIJAYASARADHI","Professor","Dermatology","PHD 1985 Osmania University"
"3174","SETHARES,BILL","Professor","Electrical &amp; Computer Engr","PHD 1987 Cornell University"
"3175","SETHI,AJAY K","Associate Professor","Population Health Sciences","PHD 2003 Johns Hopkins University"
"3176","SEVERSON,ERIC L","Assistant Professor","Electrical &amp; Computer Engr","PHD 2015 Univ of Minnesota-Twin Cities"
"3177","SEXE,LIZ","Lecturer","Dance","MFA 2009 Mills College"
"3178","SEYS,TRISHA MARIE","Clinical Asst Prof","Pharmacy","PHARMD 2002 Univ of Wisconsin-Madison"
"3179","SHAFER-LANDAU,RUSS","Professor","Philosophy","PHD 1992 University of Arizona"
"3180","SHAFFER,DAVID WILLIAMSON","Professor","Educational Psychology","PHD 1998 Harvard Univ Extension School"
"3181","SHAH,DHAVAN","Professor","Journalism&amp;Mass Communication","PHD 1998 Univ Of Minnesota-St Paul"
"3182","SHAH,DINESH M","Professor","Obstetrics &amp; Gynecology","MD 1976 University of Mumbai"
"3183","SHAH,HEMANT","Professor","Journalism&amp;Mass Communication","PHD 1987 Indiana University"
"3184","SHAH,MANISH","Professor","Emergency Medicine","MD 1996 University Of Rochester"
"3185","SHAKHASHIRI,BASSAM Z","Professor","Chemistry","PHD 1968 Univ of MD Baltimore County"
"3186","SHALIASTOVICH,IVAN","Associate Professor","Finance","PHD 2009 Duke University"
"3187","SHANMUGANAYAGAM,DHANANSAYAN","Assistant Professor","Animal Sciences","PHD 2006 Univ of Wisconsin-Madison"
"3188","SHANNON,KATHLEEN M","Professor","Neurology","MD 1981 Rush University"
"3189","SHAO,JUN","Professor","Statistics","PHD 1987 Univ of Wisconsin-Madison"
"3190","SHAPIRO,DEBRA","Faculty Associate","Information School","MA 1991 Univ of Wisconsin-Madison"
"3191","SHAPIRO,LARRY","Professor","Philosophy","PHD 1992 University of Pennsylvania"
"3192","SHAPIRO,MIKE A.","Asst Faculty Assoc","Engr Professional Development","MA 2003 Univ of Wisconsin-Madison"
"3193","SHAPIRO,VADIM","Professor","Mechanical Engineering","PHD 1991 Cornell University"
"3194","SHARAFI,MITRA","Professor","Law School","PHD 2006 Princeton University"
"3195","SHARMA,DIYA","Clinical Instructor","Pathobiological Sciences","DVM 2012 University of Guelph"
"3196","SHARMA,PRASHANT","Assistant Professor","Integrative Biology","PHD 2012 Harvard University"
"3197","SHARP,NATHANIEL","Assistant Professor","Genetics","PHD 2014 University of Toronto"
"3198","SHASHKO,ALEXANDER","Lecturer","Afro-American Studies","PHD 2011 Univ of Michigan at Ann Arbor"
"3199","SHAVER,RANDY","Professor","Dairy Science","PHD 1986 Univ of Wisconsin-Madison"
"3200","SHAW,BRET RANDALL","Associate Professor","Life Sciences Communication","PHD 2000 Univ of Wisconsin-Madison"
"3201","SHAW,GILLIAN CURTIS","Clinical Instructor","Pathobiological Sciences","DVM 2007 Michigan State University"
"3202","SHAW,KELLY","Clinical Instructor","Surgical Sciences","DVM 2011 University of Glasgow"
"3203","SHEAR,LESLIE D","Clinical Professor","Law School","JD 1985 University Of Miami"
"3204","SHEEHAN JR.,JOHN P","Associate Professor","Medicine","MD 1985 Univ of Missouri-Columbia"
"3205","SHEEHAN,NORA","Clinical Instructor","Medical Sciences","DVM 2016 Univ of Wisconsin-Madison"
"3206","SHEEHY,ANN MARIE","Associate Professor","Medicine","MD 2000 Mayo Foundation"
"3207","SHEETS,MICHAEL DENNIS","Professor","Biomolecular Chemistry","PHD 1989 Univ of Wisconsin-Madison"
"3208","SHEIBANI,NADER","Professor","Ophthalmology&amp;Visual Sciences","PHD 1989 Univ of Nebraska at Omaha"
"3209","SHELEF,MIRIAM A","Assistant Professor","Medicine","PHD  Columbia University"
"3210","SHELEF,NADAV","Professor","Political Science","PHD 2005 Univ of California Berkeley"
"3211","SHELTON-MORRIS,YOLANDA","Assoc Lecturer","Social Work","MSW 2016 Univ of Wisconsin-Madison"
"3212","SHEN,HAO","Assistant Professor","Mathematics","PHD 2013 Princeton University"
"3213","SHENKER,YORAM","Professor","Medicine","MD 1973 Hebrew University of Jerusalem"
"3214","SHEPARD,ROBIN L","Associate Professor","Life Sciences Communication","PHD 1993 Univ of Wisconsin-Madison"
"3215","SHERER,NATHAN","Associate Professor","Oncology","PHD 2006 Yale University"
"3216","SHERRADEN,AARON CHARLES","Assoc Lecturer","South Asian Sum Lang Instit","MA 2014 Austin College"
"3217","SHERRARD,CHERENE","Professor","English","PHD 2000 Cornell University"
"3218","SHEVELENKO,IRINA","Professor","German, Nordic &amp; Slavic","PHD 1998 Stanford University"
"3219","SHI,GUANMING","Professor","Agricultural&amp;Applied Economics","PHD 2005 Univ of California Berkeley"
"3220","SHI,LEYUAN","Professor","Industrial &amp; Systems Engr","PHD 1992 Harvard University"
"3221","SHI,PENG","Associate Professor","Risk &amp; Insurance","PHD 2009 Univ of Wisconsin-Madison"
"3222","SHI,PIXU","Visiting Asst Prof","Statistics","PHD 2016 University of Pennsylvania"
"3223","SHI,XIAOXIA","Professor","Economics","PHD 2010 Yale University"
"3224","SHI,YOUSHENG","Visiting Asst Prof","Mathematics","PHD 2019 Univ of Maryland College Park"
"3225","SHIBATA,YUMIKO","Assoc Lecturer","Asian Languages &amp; Cultures","PHD 2017 Univ of Wisconsin-Madison"
"3226","SHIELDS,MORGAN R","Faculty Associate","Kinesiology","PHD 2015 Univ of Wisconsin-Madison"
"3227","SHIELDS,REBECCA","Lecturer","Language Sciences Program","PHD 2011 Univ of Wisconsin-Madison"
"3228","SHIM,SOYEON","Professor","School Of Human Ecology","PHD 1986 Univ of Tennessee, Knoxville"
"3229","SHIN,JIHAE","Assistant Professor","Management &amp; Human Resources","PHD 2014 University of Pennsylvania"
"3230","SHIN,JUNG-HYE","Associate Professor","School Of Human Ecology","PHD 2007 Univ of Wisconsin-Milwaukee"
"3231","SHINNERS,KEVIN","Professor","Biological Systems Engineering","PHD 1985 Univ of Wisconsin-Madison"
"3232","SHIU,GARY","Professor","Physics","PHD 1998 Cornell University"
"3233","SHIYANBOLA,OLAYINKA","Associate Professor","Pharmacy","PHD 2009 University of Iowa"
"3234","SHOEMAKER,KARL","Professor","History","PHD 2001 Univ of California Berkeley"
"3235","SHOHET,J. LEON","Professor","Electrical &amp; Computer Engr","PHD 1961 Carnegie-Mellon University"
"3236","SHORT,SARAH JESSIE","Assistant Professor","Educational Psychology","PHD 2009 Univ of Wisconsin-Madison"
"3237","SHREVE,PORTER","Professor","English","MFA 1998 Univ of Michigan at Ann Arbor"
"3238","SHUCHA,BONNIE","Associate Dean/M","Library","JD 2016 Univ of Wisconsin-Madison"
"3239","SHULL,JAMES D","Professor","Oncology","PHD 1984 Univ of Wisconsin-Madison"
"3240","SHULT,PETER A.","Senior Scientist","Microbiology Division","PHD 1984 Univ of Wisconsin-Madison"
"3241","SHUMOW,JOSEPH DEY","Lecturer","Real Estate &amp; Urgan Land Econ","JD 2007 Washington University"
"3242","SHUSTA,ERIC","Professor","Chemical &amp; Biological Engr","PHD 1999 Univ of IL at Urbana-Champaign"
"3243","SHUSTERMAN,MARK","Visiting Asst Prof","Mathematics","PHD 2018 "
"3244","SHUTSKE,JOHN","Professor","Biological Systems Engineering","PHD 1988 Purdue University"
"3245","SHUTTS,KRISTIN","Professor","Psychology","PHD 2006 Harvard University"
"3246","SIBERT,EDWIN L.","Professor","Chemistry","PHD 1983 Univ of Colorado at Boulder"
"3247","SIDEL,MARK","Professor","Law School","JD 1985 Columbia University"
"3248","SIDELLE,ALAN","Professor","Philosophy","PHD 1986 Cornell University"
"3249","SIEGENTHALER,DEBRA SUE","Assoc Faculty Assoc","Academic Affairs","MS 2004 Univ of Wisconsin-Madison"
"3250","SIEMSEN,ENNO","Professor","Operations &amp; Information Mgmt","PHD 2005 Univ Of NC At Chapel Hill"
"3251","SIFAKIS,EFTYCHIOS","Associate Professor","Computer Sciences","PHD 2007 Stanford University"
"3252","SIGLER,PATRICIA ANN","Assoc Faculty Assoc","Consumer Science","MS 1995 Univ of Wisconsin-Madison"
"3253","SILBER,HANNAH","Lecturer","Industrial &amp; Systems Engr","PHD 2018 Univ of Wisconsin-Madison"
"3254","SILBERNAGEL,JANET","Professor","Planning &amp; Landscape Arch","PHD 1996 Michigan Technological Univ"
"3255","SILES,FABIEN JEAN FRANCOIS","Asst Faculty Assoc","French And Italian"," "
"3256","SILET,KARIN","Assoc Lecturer","Counseling Psychology","MA 1993 Bucknell University"
"3257","SILVA,ERIN","Associate Professor","Plant Pathology","PHD 2002 Washington State University"
"3258","SIMCOX,JUDITH","Assistant Professor","Biochemistry","PHD 2014 University of Utah"
"3259","SIMIC,MILAN","Assoc Lecturer","German, Nordic &amp; Slavic","PHD 2018 Univ of Wisconsin-Madison"
"3260","SIMMONS,ERICA S","Associate Professor","Political Science","PHD 2012 University of Chicago"
"3261","SIMON,ANNA","Assoc Lecturer","Information School","MLS 2015 Indiana University"
"3262","SIMON,PHILIPP","Professor","Horticulture","PHD 1977 Univ of Wisconsin-Madison"
"3263","SIMPSON,GAIL","Professor","Art","MFA 1989 Sch Of The Art Inst Of Chicago"
"3264","SIMS,PATRICK J","Professor","Theatre &amp; Drama","MFA 2000 Univ of Wisconsin-Milwaukee"
"3265","SIMS,REVEL","Assistant Professor","Planning &amp; Landscape Arch","PHD 2014 Univ of California Los Angeles"
